file_path,DistributedCameraSourceMgr,ChannelCommon,ChannelSource,ChannelSink,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
interfaces\inner_kits\native_cpp\camera_source\src\callback\dcamera_source_callback.cpp,95.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\callback\dcamera_source_callback_stub.cpp,95.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\distributed_camera_source_proxy.cpp,95.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\dcamera_source_handler.cpp,95.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\dcamera_source_handler_ipc.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,DistributedCameraSourceMgr,95.00
services\cameraservice\base\include\dcamera_metadata_setting_cmd.h,0.00,5.00,0.00,0.00,0.00,0.00,0.00,98.00,2.00,0.00,CameraServiceCommon,98.00
services\cameraservice\base\include\dcamera_info_cmd.h,5.00,10.00,3.00,3.00,2.00,0.00,0.00,95.00,2.00,8.00,CameraServiceCommon,95.00
services\cameraservice\base\include\dcamera_protocol.h,5.00,10.00,3.00,3.00,2.00,1.00,1.00,70.00,2.00,3.00,CameraServiceCommon,70.00
services\cameraservice\base\include\dcamera_capture_info_cmd.h,5.00,10.00,5.00,5.00,5.00,0.00,0.00,95.00,0.00,10.00,CameraServiceCommon,95.00
services\cameraservice\base\include\dcamera_open_info_cmd.h,5.00,3.00,4.00,4.00,1.00,0.00,0.00,98.00,2.00,3.00,CameraServiceCommon,98.00
services\cameraservice\base\include\icamera_controller.h,10.00,5.00,5.00,0.00,0.00,0.00,0.00,90.00,5.00,5.00,CameraServiceCommon,90.00
services\cameraservice\base\include\dcamera_event_cmd.h,5.00,3.00,2.00,2.00,0.00,0.00,0.00,95.00,1.00,2.00,CameraServiceCommon,95.00
services\cameraservice\base\include\dcamera_channel_info_cmd.h,5.00,40.00,10.00,10.00,0.00,0.00,0.00,45.00,0.00,0.00,None,45.00
services\cameraservice\base\src\dcamera_capture_info_cmd.cpp,5.00,10.00,5.00,5.00,5.00,5.00,5.00,90.00,5.00,5.00,CameraServiceCommon,90.00
services\cameraservice\base\src\dcamera_open_info_cmd.cpp,5.00,10.00,5.00,5.00,0.00,0.00,0.00,90.00,0.00,5.00,CameraServiceCommon,90.00
services\cameraservice\base\src\dcamera_metadata_setting_cmd.cpp,5.00,10.00,10.00,10.00,5.00,0.00,0.00,95.00,5.00,10.00,CameraServiceCommon,95.00
services\cameraservice\base\src\dcamera_event_cmd.cpp,5.00,10.00,3.00,3.00,2.00,1.00,1.00,95.00,2.00,8.00,CameraServiceCommon,95.00
services\cameraservice\base\src\dcamera_channel_info_cmd.cpp,5.00,20.00,5.00,5.00,0.00,0.00,0.00,90.00,0.00,10.00,CameraServiceCommon,90.00
services\cameraservice\base\src\dcamera_info_cmd.cpp,5.00,10.00,5.00,5.00,3.00,1.00,1.00,92.00,2.00,11.00,CameraServiceCommon,92.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_manager_callback.h,95.00,0.00,2.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_input_callback.h,85.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_photo_callback.h,80.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,16.00,DistributedCameraSourceMgr,80.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_session_callback.h,70.00,0.00,5.00,0.00,0.00,0.00,0.00,10.00,5.00,10.00,DistributedCameraSourceMgr,70.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_preview_callback.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\include\callback\dcamera_video_callback.h,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,DistributedCameraSourceMgr,80.00
services\cameraservice\cameraoperator\client\include\listener\dcamera_video_surface_listener.h,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,85.00,utils,85.00
services\cameraservice\cameraoperator\client\include\listener\dcamera_photo_surface_listener.h,70.00,0.00,0.00,0.00,5.00,0.00,10.00,5.00,0.00,10.00,DistributedCameraSourceMgr,70.00
services\cameraservice\cameraoperator\client\include\dcamera_client.h,90.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,5.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\include\icamera_operator.h,20.00,5.00,5.00,5.00,5.00,5.00,5.00,60.00,5.00,10.00,CameraServiceCommon,60.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_input_callback.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_session_callback.cpp,90.00,5.00,10.00,3.00,2.00,1.00,1.00,15.00,5.00,8.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_manager_callback.cpp,90.00,0.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00,3.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_video_callback.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_photo_callback.cpp,75.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,15.00,DistributedCameraSourceMgr,75.00
services\cameraservice\cameraoperator\client\src\callback\dcamera_preview_callback.cpp,85.00,0.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_photo_surface_listener.cpp,90.00,0.00,5.00,0.00,2.00,1.00,1.00,3.00,0.00,8.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_video_surface_listener.cpp,90.00,0.00,2.00,0.00,1.00,3.00,2.00,1.00,0.00,1.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_photo_surface_listener_common.cpp,70.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,0.00,15.00,DistributedCameraSourceMgr,70.00
services\cameraservice\cameraoperator\client\src\listener\dcamera_video_surface_listener_common.cpp,65.00,5.00,10.00,0.00,5.00,0.00,80.00,5.00,0.00,10.00,CameraDataPostProcess,80.00
services\cameraservice\cameraoperator\client\src\dcamera_client_common.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\client\src\dcamera_client.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,DistributedCameraSourceMgr,85.00
services\cameraservice\cameraoperator\handler\src\dcamera_handler_common.cpp,90.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,3.00,DistributedCameraSourceMgr,90.00
services\cameraservice\cameraoperator\handler\src\dcamera_handler.cpp,90.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,0.00,5.00,DistributedCameraSourceMgr,90.00
services\cameraservice\sinkservice\include\distributedcamera\distributed_camera_sink_stub.h,0.00,5.00,0.00,10.00,0.00,0.00,0.00,80.00,5.00,0.00,CameraServiceCommon,80.00
services\cameraservice\sinkservice\include\distributedcamera\distributed_camera_sink_service.h,0.00,0.00,0.00,80.00,0.00,0.00,0.00,15.00,0.00,5.00,ChannelSink,80.00
services\cameraservice\sinkservice\include\distributedcameramgr\callback\dcamera_sink_output_result_callback.h,0.00,5.00,0.00,10.00,5.00,80.00,0.00,10.00,5.00,5.00,CameraDataPreProcess,80.00
services\cameraservice\sinkservice\include\distributedcameramgr\callback\dcamera_sink_controller_state_callback.h,0.00,0.00,0.00,80.00,0.00,0.00,0.00,15.00,0.00,5.00,ChannelSink,80.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_photo_output_event.h,10.00,5.00,3.00,3.00,2.00,1.00,1.00,70.00,0.00,5.00,CameraServiceCommon,70.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_post_authorization_event.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_video_output_event.h,5.00,10.00,5.00,5.00,5.00,5.00,5.00,70.00,3.00,2.00,CameraServiceCommon,70.00
services\cameraservice\sinkservice\include\distributedcameramgr\eventbus\dcamera_frame_trigger_event.h,5.00,5.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_data_process.h,0.00,0.00,0.00,0.00,30.00,60.00,0.00,5.00,0.00,5.00,CameraDataPreProcess,60.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_access_control.h,0.00,0.00,0.00,10.00,0.00,0.00,0.00,80.00,10.00,0.00,CameraServiceCommon,80.00
services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_output.h,0.00,5.00,0.00,20.00,5.00,10.00,0.00,30.00,30.00,0.00,None,30.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_controller_channel_listener.h,0.00,5.00,0.00,95.00,0.00,0.00,0.00,10.00,0.00,0.00,ChannelSink,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_data_process_listener.h,0.00,0.00,0.00,0.00,5.00,90.00,0.00,3.00,0.00,2.00,CameraDataPreProcess,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_output_channel_listener.h,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelSink,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_access_control.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,5.00,CameraServiceCommon,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_service_ipc.h,0.00,5.00,0.00,90.00,0.00,0.00,0.00,3.00,0.00,2.00,ChannelSink,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_dev.h,0.00,2.00,0.00,2.00,0.00,0.00,0.00,1.00,95.00,0.00,VirtualCameraHdf,95.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_data_process.h,0.00,0.00,0.00,5.00,5.00,90.00,0.00,3.00,0.00,2.00,CameraDataPreProcess,90.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_output.h,0.00,0.00,0.00,10.00,0.00,5.00,0.00,0.00,0.00,85.00,utils,85.00
services\cameraservice\sinkservice\include\distributedcameramgr\dcamera_sink_controller.h,0.00,5.00,0.00,10.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
services\cameraservice\sourceservice\include\distributedcamera\dcamera_service_state_listener.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,DistributedCameraSourceMgr,90.00
services\cameraservice\sourceservice\include\distributedcamera\dcamera_source_callback_proxy.h,95.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcamera\distributed_camera_source_service.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcamera\distributed_camera_source_stub.h,95.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameracontrol\dcamera_source_controller_channel_listener.h,20.00,10.00,90.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,ChannelSource,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameracontrol\dcamera_source_controller.h,95.00,1.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process_pipeline_listener.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_data_process.h,95.00,0.00,2.00,0.00,10.00,0.00,3.00,5.00,0.00,1.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process.h,90.00,0.00,5.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_input_channel_listener.h,10.00,5.00,90.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,ChannelSource,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_stream_data_process_producer.h,90.00,5.00,10.00,0.00,20.00,15.00,25.00,10.00,30.00,5.00,DistributedCameraSourceMgr,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_input.h,95.00,2.00,15.00,0.00,3.00,1.00,5.00,8.00,0.00,1.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerahdf\dcamera_provider_callback_impl.h,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,1.00,VirtualCameraHdf,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerainterface\icamera_state_listener.h,85.00,5.00,2.00,2.00,0.00,0.00,0.00,10.00,3.00,3.00,DistributedCameraSourceMgr,85.00
