file_path,WebUI,Auth,Recommender,Registry,Image,best_module,best_likelihood
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\repository\EMFManager.java,2.00,45.00,25.00,5.00,3.00,None,45.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\CategoryEndpoint.java,15.00,2.00,3.00,1.00,2.00,None,15.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\CacheManagerEndpoint.java,0.00,0.00,0.00,0.00,12.00,None,12.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\DatabaseGenerationEndpoint.java,12.00,2.00,1.00,3.00,1.00,None,12.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\OrderEndpoint.java,15.00,5.00,8.00,2.00,2.00,None,15.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\OrderItemEndpoint.java,3.00,1.00,15.00,1.00,1.00,None,15.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\ProductEndpoint.java,60.00,2.00,3.00,1.00,2.00,WebUI,60.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\rest\UserEndpoint.java,5.00,25.00,5.00,0.00,0.00,None,25.00
services\tools.descartes.teastore.persistence\src\main\java\tools\descartes\teastore\persistence\servlet\IndexServlet.java,95.00,0.00,0.00,0.00,0.00,WebUI,95.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\algorithm\impl\UseFallBackException.java,0.00,0.00,98.00,0.00,0.00,Recommender,98.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\algorithm\IRecommender.java,0.00,0.00,99.00,0.00,0.00,Recommender,99.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\algorithm\AbstractRecommender.java,0.00,0.00,99.00,0.00,0.00,Recommender,99.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\algorithm\OrderItemSet.java,0.00,0.00,98.00,0.00,0.00,Recommender,98.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\algorithm\RecommenderSelector.java,0.00,0.00,99.00,0.00,0.00,Recommender,99.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\rest\RecommendSingleEndpoint.java,0.00,0.00,98.00,0.00,0.00,Recommender,98.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\rest\RecommendEndpoint.java,0.00,0.00,98.00,0.00,0.00,Recommender,98.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\rest\TrainEndpoint.java,0.00,0.00,99.00,0.00,0.00,Recommender,99.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\servlet\RecommenderStartup.java,0.00,0.00,95.00,0.00,0.00,Recommender,95.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\servlet\IndexServlet.java,4.00,0.00,95.00,0.00,0.00,Recommender,95.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\servlet\RetrainDaemon.java,0.00,0.00,98.00,0.00,0.00,Recommender,98.00
services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\servlet\TrainingSynchronizer.java,0.00,0.00,98.00,0.00,0.00,Recommender,98.00
services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\HeartbeatInfo.java,0.00,0.00,0.00,98.00,0.00,Registry,98.00
services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\Registry.java,0.00,0.00,0.00,98.00,0.00,Registry,98.00
services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\RegistryREST.java,0.00,0.00,0.00,99.00,0.00,Registry,99.00
services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\rest\RegistryStartup.java,0.00,0.00,0.00,98.00,0.00,Registry,98.00
services\tools.descartes.teastore.registry\src\main\java\tools\descartes\teastore\registry\servlet\IndexServlet.java,0.00,0.00,0.00,95.00,0.00,Registry,95.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\rest\ReadyRest.java,95.00,0.00,0.00,0.00,0.00,WebUI,95.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\elhelper\ELHelperUtils.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\AboutUsServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\AbstractUIServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\CartActionServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\CartServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\CategoryServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\DataBaseActionServlet.java,98.00,1.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\DataBaseServlet.java,95.00,0.00,0.00,0.00,0.00,WebUI,95.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\ErrorServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\IndexServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\LoginActionServlet.java,95.00,0.00,0.00,0.00,0.00,WebUI,95.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\LoginServlet.java,95.00,5.00,0.00,0.00,0.00,WebUI,95.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\OrderServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\ProfileServlet.java,95.00,0.00,0.00,0.00,0.00,WebUI,95.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\ProductServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\StatusServlet.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\startup\WebuiStartup.java,98.00,0.00,0.00,0.00,0.00,WebUI,98.00
